quarter,stock,date,open,high,low,close,volume,percent_change_price,percent_change_volume_over_last_wk,previous_weeks_volume,next_weeks_open,next_weeks_close,percent_change_next_weeks_price,days_to_next_dividend,percent_return_next_dividend
1,CSCO,2011-01-07,$20.45,$21.00,$20.38,$20.97,303545878,2.54279,,,$20.94,$21.21,1.2894,81,0.286123
1,CSCO,2011-01-14,$20.94,$21.23,$20.70,$21.21,154708263,1.2894,-49.03298835,303545878.0,$21.22,$20.72,-2.35627,74,0.282885
1,CSCO,2011-01-21,$21.22,$21.33,$20.50,$20.72,193706863,-2.35627,25.20783263,154708263.0,$20.84,$20.93,0.43186199999999997,67,0.289575
1,CSCO,2011-01-28,$20.84,$21.61,$20.73,$20.93,265687272,0.43186199999999997,37.15945212,193706863.0,$20.93,$22.05,5.35117,60,0.28667
1,CSCO,2011-02-04,$20.93,$22.15,$20.71,$22.05,236334561,5.35117,-11.04784237,265687272.0,$22.11,$18.70,-15.4229,53,0.272109
1,CSCO,2011-02-11,$22.11,$22.34,$18.61,$18.70,1000362015,-15.4229,323.2821517,236334561.0,$18.84,$18.85,0.0530786,46,0.320856
1,CSCO,2011-02-18,$18.84,$18.95,$18.56,$18.85,390258123,0.0530786,-60.98831052,1000362015.0,$18.73,$18.64,-0.480513,39,0.318302
1,CSCO,2011-02-25,$18.73,$18.74,$18.23,$18.64,285212201,-0.480513,-26.91703665,390258123.0,$18.62,$18.40,-1.18153,32,0.321888
1,CSCO,2011-03-04,$18.62,$18.79,$18.31,$18.40,302059981,-1.18153,5.907103532000001,285212201.0,$18.36,$17.95,-2.23312,25,0.326087
1,CSCO,2011-03-11,$18.36,$18.37,$17.76,$17.95,311209442,-2.23312,3.029021246,302059981.0,$17.81,$17.14,-3.7619300000000004,18,0.334262
1,CSCO,2011-03-18,$17.81,$17.88,$16.97,$17.14,444161658,-3.7619300000000004,42.72113826,311209442.0,$17.34,$17.28,-0.346021,11,0.350058
1,CSCO,2011-03-25,$17.34,$17.64,$17.20,$17.28,284574143,-0.346021,-35.93005207,444161658.0,$17.36,$17.04,-1.84332,4,0.347222
2,CSCO,2011-04-01,$17.36,$17.60,$16.99,$17.04,308644641,-1.84332,8.458427651000001,284574143.0,$17.01,$17.65,3.76249,95,0.352113
2,CSCO,2011-04-08,$17.01,$18.29,$17.00,$17.65,539982011,3.76249,74.95266053,308644641.0,$17.71,$17.03,-3.83964,88,0.339943
2,CSCO,2011-04-15,$17.71,$17.76,$16.97,$17.03,324203125,-3.83964,-39.96038416,539982011.0,$16.88,$16.94,0.35545,81,0.352319
2,CSCO,2011-04-21,$16.88,$16.96,$16.52,$16.94,249420898,0.35545,-23.06647322,324203125.0,$16.93,$17.52,3.48494,75,0.354191
2,CSCO,2011-04-29,$16.93,$17.64,$16.90,$17.52,412492845,3.48494,65.38022608,249420898.0,$17.51,$17.56,0.285551,67,0.342466
2,CSCO,2011-05-06,$17.51,$17.70,$17.28,$17.56,290282402,0.285551,-29.62728796,412492845.0,$17.53,$16.88,-3.70793,60,0.341686
2,CSCO,2011-05-13,$17.53,$17.99,$16.64,$16.88,563552552,-3.70793,94.13941325,290282402.0,$16.82,$16.53,-1.7241400000000002,53,0.35545
2,CSCO,2011-05-20,$16.82,$16.87,$16.34,$16.53,371711669,-1.7241400000000002,-34.04134758,563552552.0,$16.41,$16.46,0.304692,46,0.362976
2,CSCO,2011-05-27,$16.41,$16.46,$16.11,$16.46,235050333,0.304692,-36.76541454,371711669.0,$16.59,$16.01,-3.49608,39,0.36451999999999996
2,CSCO,2011-06-03,$16.59,$16.82,$15.98,$16.01,256069538,-3.49608,8.942427237,235050333.0,$16.04,$15.12,-5.73566,32,0.374766
2,CSCO,2011-06-10,$16.04,$16.17,$15.01,$15.12,412198054,-5.73566,60.971139799999996,256069538.0,$15.14,$14.97,-1.12285,25,0.396825
2,CSCO,2011-06-17,$15.14,$15.28,$14.78,$14.97,401380782,-1.12285,-2.624289924,412198054.0,$14.94,$14.93,-0.06693439999999999,18,0.400802
2,CSCO,2011-06-24,$14.94,$15.64,$14.92,$14.93,429730443,-0.06693439999999999,7.063033975,401380782.0,$14.94,$15.86,6.15797,11,0.401875
